ID	QUESTION	ANSWER	CHOICES	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
1001	तृणधान्यम् कस्य पर्यायः अस्ति	क्षुद्रधान्यम्; क्षुद्रधान्यस्य	क्षुद्रधान्यम् / धान्यम् / शाकम् / व्रीहिधान्यम्	क्षुद्रधान्यम्	धान्यम्	धान्यम्	क्षुद्रधान्यम्
1002	कृष्णतण्डुलः कस्य पर्यायः अस्ति ? 	शालामुखः	कृष्णः / जतुमुखः / व्रीहि / शालामुखः	जतुमुखः	जतुमुखः	व्रीहि	व्रीहि
1003	वनमुद्गः कस्य पर्यायः ? 	मकुष्ठकः	मुद्गः / माषः / क्षुद्रधान्यम् / मकुष्ठकः	मकुष्ठकः	माषः	माषः	मुद्गः
1004	शालिधान्यस्य प्रकाराः के सन्ति	रक्तशालिः + कलमः + पाण्डुकः + शकुनाहृतः + सुगन्धकः + कर्दमकः + महाशालिः + दूषकः + पुष्पाण्डकः + पुण्डरीकः + महिषमस्तकः + दीर्घशूकः + काञ्चनकः + हायनः + लोध्रपुष्पक; रक्तशालिः कर्दमकः दूषकः; शालिधान्यस्य प्रकाराः रक्तशालिः दीर्घशूकः सुगन्धकश्च सन्ति		शालिनिधान्यशर्करा, तण्डुलाः, सत्तू	शालिधान्यस्य प्रकाराः त्रिविधाः सन्ति - शालिः, व्रीहिः, यवः च	दौभाषेयः, ज्वाल, बिल्व, राग, सामी, लब्धक, दारु, काकतुण्डिका	अष्टधान्यानि
1005	धान्यस्य कति प्रकाराः उक्ताः	पञ्च		दश प्रकाराः	षट्	पञ्च	अष्टधान्यानि
1006	धान्यस्य के प्रकाराः उक्ताः	शालिधान्यम् + व्रीहिधान्यम् + शूकधान्यम् + शिम्बिधान्यम् + क्षुद्रधान्यम्; धान्यस्य प्रकाराः शालि व्रीहि शूक शिम्बी क्षुद्र; धान्यस्य प्रकाराः शालिधान्यं व्रीहिधान्यं शूकधान्यं शिम्बीधान्यं क्षुद्रधान्यम्		षट्	द्विविधाः  शूकधान्यं, शमीधान्यम्	अनेकाः	अर्थवाद, शाक, मुद्ग, माष, जीरक, माष, शाल्मली, शाल्मली, शाल्मली, शाल्मली, शाल्मली, शाल्मली, शाल्मली, शाल्मली, श
1007	शालामुखः कस्य प्रकारः अस्ति? 	व्रीहिधान्यम्	शालिधान्यम् / व्रीहिधान्यम् / शूकधान्यम् / शिम्बिधान्यम्	शूकधान्यम्	शूकधान्यम्	शालिधान्यम्	शालिधान्यम्
1008	मुद्गस्य कति भेदाः उक्ताः? 	पञ्च		चत्वारः	पञ्च	त्रयः	अष्टभेदाः
1009	दग्धमृत्-जात-शाली शाली च अनयोः को भेदः?	शालिः स्निग्धा अस्ति, दग्धमृज्जातशालिः रूक्षा		कृषितन्त्रे	"दग्धमृत्-जात-शाली शाली च अनयोः भेदः - 

दग्धमृत्-जात-शाली - दग्धमृत्-जात-शाली शाली विशेषः, यस्य"	दग्धमृत्-जात-शाली अपेक्षया शाली भिन्नाः	दग्धमृत्-जात-शाली शाली च अनयोः भेदः दग्धमृत्-जात-शाली शाली च अनयोः भेदः दग्धमृत्-जात-शाली शाली
1010	शालिधान्यस्य कः प्रकारः श्रेष्ठः ? 	रक्तशालिः		शालि	शुकधान्यम्	शालिमुद्धकः	श्वेतशाली
1011	व्रीहिषु कः श्रेष्ठः?	कृष्णव्रीहिः		शालि:	शालिः	सर्वश्रेष्ठः	श्वेतव्रीहि
1012	वार्षिकस्य व्रीहेः वर्णः कः? 	शुक्लः		श्यामः	श्वेतः	कृष्णः	कृष्णः
1013	व्रीहेः विपाकः कः ? 	मधुर; मधुरः	अम्ल / कटु / मधुर / उष्ण	मधुर	मधुर	मधुर	अम्ल
