ID	QUESTION	ANSWER	CHOICES	gpt-4o	gpt-4o_maxd	gpt-4o_paths	mistral-large-latest	mistral-large-latest_maxd	mistral-large-latest_paths	claude-3-5-sonnet-20240620	claude-3-5-sonnet-20240620_maxd	claude-3-5-sonnet-20240620_paths
1001	तृणधान्यम् कस्य पर्यायः अस्ति	क्षुद्रधान्यम्	क्षुद्रधान्यम् / धान्यम् / शाकम् / व्रीहिधान्यम्	क्षुद्रधान्यम्	1	(:Dhaanya {'lemma': क्षुद्रधान्य})<-[:IS_SYNONYM_OF]-({'lemma': तृणधान्य}); (:Kshudra_dhanya {'lemma': तृणधान्य})-[:IS_SYNONYM_OF]->({'lemma': क्षुद्रधान्य}); (:Kshudra_dhanya {'lemma': तृणधान्य})-[:IS_SYNONYM_OF]->({'lemma': क्षुद्रधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': क्षुद्रधान्य})	तृणधान्यस्य पर्यायः क्षुद्रधान्यम्	1	(:Substance {'lemma': धान्य})-[:IS_SYNONYM_OF]->({'lemma': धान्यक}); (:Substance {'lemma': धान्य})-[:IS_SYNONYM_OF]->({'lemma': धान्यक}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शिम्बिधान्य}); (:Dhaanya {'lemma': क्षुद्रधान्य})<-[:IS_SYNONYM_OF]-({'lemma': तृणधान्य})	क्षुद्रधान्यस्य	1	(:Dhaanya {'lemma': क्षुद्रधान्य})<-[:IS_SYNONYM_OF]-({'lemma': तृणधान्य}); (:Kshudra_dhanya {'lemma': तृणधान्य})-[:IS_SYNONYM_OF]->({'lemma': क्षुद्रधान्य}); (:Kshudra_dhanya {'lemma': तृणधान्य})-[:IS_SYNONYM_OF]->({'lemma': क्षुद्रधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': क्षुद्रधान्य}); (:Dhaanya {'lemma': क्षुद्रधान्य})-[:IS_TYPE_OF]->({'lemma': धान्य})
1002	कृष्णतण्डुलः कस्य पर्यायः अस्ति ? 	शालामुखः	कृष्णः / जतुमुखः / व्रीहि / शालामुखः	शालामुखः	1	(:Vriihi_dhanya {'lemma': जतुमुख})-[:IS_TYPE_OF]->({'lemma': व्रीहि}); (:Vriihi_dhanya {'lemma': जतुमुख})-[:IS_TYPE_OF]->({'lemma': व्रीहि}); (:Vriihi_dhanya {'lemma': कृष्णतण्डुल})-[:IS_SYNONYM_OF]->({'lemma': शालामुख})	कृष्णतण्डुलः कृष्णस्य पर्यायः अस्ति	1	(:Varna_property {'lemma': कृष्ण})-[:IS_VARNA_PROPERTY_OF]->({'lemma': कृष्ण-गो}); (:Varna_property {'lemma': कृष्ण})-[:IS_VARNA_PROPERTY_OF]->({'lemma': कृष्ण-गो}); (:Varna_property {'lemma': कृष्ण})-[:IS_VARNA_PROPERTY_OF]->({'lemma': कामरूपोद्भवा-कस्तूरी}); (:Varna_property {'lemma': कृष्ण})-[:IS_VARNA_PROPERTY_OF]->({'lemma': X2-256320}); (:Varna_property {'lemma': कृष्ण})-[:IS_VARNA_PROPERTY_OF]->({'lemma': X2-256320})	शालामुखस्य	1	(:Vriihi_dhanya {'lemma': कृष्णतण्डुल})-[:IS_SYNONYM_OF]->({'lemma': शालामुख})
1003	वनमुद्गः कस्य पर्यायः ? 	मकुष्ठकः	मुद्गः / माषः / क्षुद्रधान्यम् / मकुष्ठकः	मकुष्ठकः	1		मुद्गः	1		मकुष्ठकस्य	1	(:Shimbii_dhanya {'lemma': वनमुद्ग})-[:IS_SYNONYM_OF]->({'lemma': मकुष्ठ}); (:Shimbii_dhanya {'lemma': मकुष्ठक})-[:IS_SYNONYM_OF]->({'lemma': मकुष्ठ})
1004	शालिधान्यस्य प्रकाराः के सन्ति	रक्तशालिः + कलमः + पाण्डुकः + शकुनाहृतः + सुगन्धकः + कर्दमकः + महाशालिः + दूषकः + पुष्पाण्डकः + पुण्डरीकः + महिषमस्तकः + दीर्घशूकः + काञ्चनकः + हायनः + लोध्रपुष्पक		रक्तशालिः, कर्दमकः, दूषकः	1	(:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_BEST_AMONG]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_BEST_AMONG]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': कर्दमक}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': कर्दमक}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': दूषक}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': दूषक})	पुण्डरीक, महाशालि, महिषमस्तक	1	(:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': पुण्डरीक}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': पुण्डरीक}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': महाशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': महाशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': महिषमस्तक}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': महिषमस्तक})	शालिधान्यस्य प्रकाराः रक्तशालिः, दीर्घशूकः, सुगन्धकश्च सन्ति	1	(:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_BEST_AMONG]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_BEST_AMONG]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': दीर्घशूक}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': दीर्घशूक}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': सुगन्धक}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': सुगन्धक})
1005	धान्यस्य कति प्रकाराः उक्ताः	पञ्च		पञ्च	1		धान्यस्य त्रयः प्रकाराः उक्ताः	1	(:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': क्षुद्रधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शिम्बिधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शूकधान्य})	त्रयः	1	(:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': क्षुद्रधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शिम्बिधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शूकधान्य})
1006	धान्यस्य के प्रकाराः उक्ताः	शालिधान्यम् + व्रीहिधान्यम् + शूकधान्यम् + शिम्बिधान्यम् + क्षुद्रधान्यम्		क्षुद्रधान्याः, शिम्बिधान्याः, शूकधान्याः	1	(:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': क्षुद्रधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शिम्बिधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शूकधान्य})	धान्यस्य प्रकाराः क्षुद्रधान्य, शिम्बिधान्य, शूकधान्य उक्ताः	1	(:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': क्षुद्रधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शिम्बिधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शूकधान्य})	शूकधान्यम्, शिम्बिधान्यम्, क्षुद्रधान्यम् च	1	(:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': क्षुद्रधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शिम्बिधान्य}); (:Dhaanya {'lemma': धान्य})<-[:IS_TYPE_OF]-({'lemma': शूकधान्य})
1007	शालामुखः कस्य प्रकारः अस्ति? 	व्रीहिधान्यम्	शालिधान्यम् / व्रीहिधान्यम् / शूकधान्यम् / शिम्बिधान्यम्	व्रीहिधान्यम्	1		शालिधान्यम्	1	(:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': कलम}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': कलम}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रोपितशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रोपितशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': हायन}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': हायन})	व्रीहिधान्यम्	1	(:Vriihi_dhanya {'lemma': शालामुख})-[:IS_TYPE_OF]->({'lemma': व्रीहि}); (:Vriihi_dhanya {'lemma': शालामुख})-[:IS_TYPE_OF]->({'lemma': व्रीहि}); (:Vriihi_dhanya {'lemma': व्रीहिधान्य})<-[:IS_SYNONYM_OF]-({'lemma': व्रीहि})
1008	मुद्गस्य कति भेदाः उक्ताः? 	पञ्च		त्रयः	1	(:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': रक्त-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': रक्त-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': श्वेत-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': श्वेत-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': पीतक-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': पीतक-मुद्ग})	मुद्गस्य त्रयः भेदाः उक्ताः	1	(:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': रक्त-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': रक्त-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': श्वेत-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': श्वेत-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': पीतक-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': पीतक-मुद्ग})	"त्रयः

मुद्गस्य त्रयो भेदाः उक्ताः - रक्त-मुद्गः, श्वेत-मुद्गः, पीतक-मुद्गश्च"	1	(:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': रक्त-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': रक्त-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': श्वेत-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': श्वेत-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': पीतक-मुद्ग}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_VARIANT_OF]-({'lemma': पीतक-मुद्ग})
1009	दग्धमृत्-जात-शाली शाली च अनयोः को भेदः?	शालिः स्निग्धा अस्ति, दग्धमृज्जातशालिः रूक्षा		दग्धमृत्-जात-शालीः अपचयः	1		"दग्धमृत्-जात-शाली शाली च अनयोः को भेदः?

उत्तरम्: दग्धमृत्-जात-शाली शाली च अनयोः भेदः नास्ति"	1		उत्तरम्: दग्धमृत्-जात-शालिः विशेषप्रक्रियया उत्पादितः, सामान्यशालिस्तु प्राकृतिकरूपेण कृषितः	1	
1010	शालिधान्यस्य कः प्रकारः श्रेष्ठः ? 	रक्तशालिः		रक्तशालिः	1	(:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_BEST_AMONG]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_BEST_AMONG]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})-[:IS_TYPE_OF]->({'lemma': धान्य}); (:Shaali_dhanya {'lemma': शालिधान्य})-[:IS_TYPE_OF]->({'lemma': धान्य}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': महिषमस्तक})	हायनः	1	(:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': हायन}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': हायन}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': शकुनाहृत}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': शकुनाहृत}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': दीर्घशूक}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': दीर्घशूक})	रक्तशालिः	1	(:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_BEST_AMONG]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_BEST_AMONG]-({'lemma': रक्तशालि}); (:Shaali_dhanya {'lemma': शालिधान्य})-[:IS_TYPE_OF]->({'lemma': धान्य}); (:Shaali_dhanya {'lemma': शालिधान्य})-[:IS_TYPE_OF]->({'lemma': धान्य}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': काञ्चनक}); (:Shaali_dhanya {'lemma': शालिधान्य})<-[:IS_TYPE_OF]-({'lemma': काञ्चनक})
