id	question_id	answer	text	chapter	chapter_id	verse_id	well_formed	question	option_1	option_2	option_3	option_4	options
1	143	क	भावप्रकाशनिघण्टु	हरीतक्यादि		1	1	भावप्रकाशनिघण्टु में सर्वप्रथम किस वर्ग का उल्लेख है	(क.) हरीत्क्यादि	(ख.) आमलक्यादि 	(ग.) हरिद्रादि 	(घ.) गुडूच्यादि	(क.) हरीत्क्यादि (ख.) आमलक्यादि  (ग.) हरिद्रादि  (घ.) गुडूच्यादि
2	144	ख	भावप्रकाशनिघण्टु	हरीतक्यादि	1	5	1	अमृतपान के समय भगवान इन्द्र के मुख से पृथवी पर बूंद गिरने से किस द्रव्य की उतपत्ति हुयी थी	(क.) गुडूची	(ख.) अभया	(ग.) आमलकी	(घ.) अमृतवल्ली	(क.) गुडूची (ख.) अभया (ग.) आमलकी (घ.) अमृतवल्ली
3	145	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	7	0	हरीतकी के पर्याय है	(क.) कायस्था	(ख.) हेमवती	(ग.) शिवा	(घ.) सभी	(क.) कायस्था (ख.) हेमवती (ग.) शिवा (घ.) सभी
4	146	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1		1	हरीतकी के कितने प्रकार बताए गए है	(क.) 3	(ख.) 5	(ग.) 7	(घ.) 2	(क.) 3 (ख.) 5 (ग.) 7 (घ.) 2
5	147	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1		1	कौन से प्रकार की हरीतकी प्रत्येक स्थान पर पाई जाती है	(क.) विजया	(ख.) चेतकी	(ग.) अभया	(घ.) रोहिणी	(क.) विजया (ख.) चेतकी (ग.) अभया (घ.) रोहिणी
6	148	ग	भावप्रकाशनिघण्टु	हरीतक्यादि	1		1	हरीतकी में कितने रस होते हैं	(क.) 3	(ख.) 4	(ग.) 5	(घ.) 6	(क.) 3 (ख.) 4 (ग.) 5 (घ.) 6
7	149	ख	भावप्रकाशनिघण्टु	हरीतक्यादि	1	29	1	श्रेष्ठ हरीतकी का भार (वजन) कितना होना चाहिए	(क.) 1 कर्ष	(ख.) 2 कर्ष	(ग.) 3 कर्ष	(घ.) 1 तोला	(क.) 1 कर्ष (ख.) 2 कर्ष (ग.) 3 कर्ष (घ.) 1 तोला
8	150	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	35	0	हरीतकी सेवन के अयोग्य हैं	(क.) बलवर्जित	(ख.) कृश	(ग.) विमुक्तरक्त	(घ.) सभी	(क.) बलवर्जित (ख.) कृश (ग.) विमुक्तरक्त (घ.) सभी
9	151	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	37	1	विभीतक निम्न में से किसका पर्याय है	(क.) कलिदूम	(ख.) भूतवास	(ग.) कलियुगालय	(घ.) सभी	(क.) कलिदूम (ख.) भूतवास (ग.) कलियुगालय (घ.) सभी
10	152	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	38	1	आमलकी निम्न में से किसका पर्याय है	(क.) वयस्या	(ख.) वृष्या	(ग.) जातीफलरसा	(घ.) सभी	(क.) वयस्या (ख.) वृष्या (ग.) जातीफलरसा (घ.) सभी
11	153	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	38		आमलकी निम्न में से किसका पर्याय नहीं है	(क.) शिव	(ख.) धात्रीफल	(ग.) श्रीफल	(घ.) कर्षफल	(क.) शिव (ख.) धात्रीफल (ग.) श्रीफल (घ.) कर्षफल
12	154	ख	भावप्रकाशनिघण्टु	हरीतक्यादि	1	39	1	यह किसके बारे में कहा गया है -  हरीतकीसमं ......रक्तपित्तप्रमेहघ्नं परं वृष्य रसायनम् ।	(क.) विभीतक	(ख.) आमलकी	(ग.) गुडूची	(घ.) अभया	(क.) विभीतक (ख.) आमलकी (ग.) गुडूची (घ.) अभया
13	155	घ	भावप्रकाशनिघण्टु	हरीतक्यादि	1	43	1	वरा निम्न में से किसका पर्याय है	(क.) हरिद्रा	(ख.) गुडूची	(ग.) आमलकी	(घ.) त्रिफला	(क.) हरिद्रा (ख.) गुडूची (ग.) आमलकी (घ.) त्रिफला
