id	hindi	sanskrit	sanskrit_corrected	Options	Answer	
1	भावप्रकाशनिघण्टु में सर्वप्रथम किस वर्ग का उल्लेख है? (क.) हरीत्क्यादि (ख.) आमलक्यादि (ग.) हरिद्रादि (घ.) गुडूच्यादि	भावप्रकाशनिघुमें प्रथमं कस्य वर्गस्य उल्लेखः अस्ति? (क.) हरीत्क्यादि (ख.) आमलक्यादि (ग.) हरिद्रादि (घ.) गुडूच्यादि	भावप्रकाशननिघण्टौ प्रथमं कस्य वर्गस्य उल्लेखः अस्ति? 	हरीत्क्यादि / आमलक्यादि / हरिद्रादि / गुडूच्यादि	हरीत्क्यादि	
2	अमृतपान के समय भगवान इन्द्र के मुख से पृथवी पर बूंद गिरने से किस द्रव्य की उतपत्ति हुयी थी? (क.) गुडूची (ख.) अभया (ग.) आमलकी (घ.) अमृतवल्ली	अमृतपानसमये भगवानः इन्द्रः मुखात् पृथिव्याम् बिन्दुः पतित्वा कस्मिन द्रव्यम् उत्पन्नम् आसीत्? (क.) गुडूची (ख.) अभया (ग.) आमलकी (घ.) अमृतवल्ली	अमृतपानसमये भगवतः इन्द्रस्य मुखात् पृथिव्याम् बिन्दुः पतित्वा किं द्रव्यम् उत्पन्नम् आसीत्? 	गुडूची / अभया / आमलकी / अमृतवल्ली	अभया	
4	हरीतकी के कितने प्रकार बताए गए है? (क.) 3 (ख.) 5 (ग.) 7 (घ.) 2	हरीतक्याः कति प्रकाराः उक्ताः? (क.) ३ (ख.) ५ (ग.) ७ (घ.) २	हरीतक्याः कति प्रकाराः उक्ताः?	३ / ५ / ७ / २	७	
5	कौन से प्रकार की हरीतकी प्रत्येक स्थान पर पाई जाती है? (क.) विजया (ख.) चेतकी (ग.) अभया (घ.) रोहिणी	कः प्रकारः हरीतक्याः सर्वत्र उपलभ्यते? (क.) विजया (ख.) चेतकी (ग.) अभया (घ.) रोहिणी	कः प्रकारः हरीतक्याः सर्वत्र उपलभ्यते? 	विजया / चेतकी / अभया / रोहिणी	रोहिणी	
6	हरीतकी में कितने रस होते हैं? (क.) 3 (ख.) 4 (ग.) 5 (घ.) 6	हरीतक्याम् कति रसाः वर्तन्ते? (क.) ३ (ख.) ४ (ग.) ५ (घ.) ६	हरीतक्यां कति रसाः वर्तन्ते? 	३ / ४ / ५ / ६	५	
7	श्रेष्ठ हरीतकी का भार (वजन) कितना होना चाहिए? (क.) 1 कर्ष (ख.) 2 कर्ष (ग.) 3 कर्ष (घ.) 1 तोला	उत्तमहरीतक्याः भारः कियत् भवेत्? (क.) १ कर्षः (ख.) २ कर्षः (ग.) ३ कर्षः (घ.) १ तोलः	उत्तमहरीतक्याः भारः कियान् भवेत्?	१ कर्षः / २ कर्षः / ३ कर्षः / १ तोलः	२ कर्षः	
9	विभीतक निम्न में से किसका पर्याय है? (क.) कलिदूम (ख.) भूतवास (ग.) कलियुगालय (घ.) सभी	विभीतकस्य पर्यायः कः अस्ति? (क.) कलिदूमः (ख.) भूतवासः (ग.) कलियुगालयः (घ.) सर्वे	विभीतकस्य पर्यायः कः अस्ति? 	कलिदूमः / भूतवासः / कलियुगालयः / सर्वे	सर्वे	
10	आमलकी निम्न में से किसका पर्याय है? (क.) वयस्या (ख.) वृष्या (ग.) जातीफलरसा (घ.) सभी	आमलक्याः पर्यायः कः अस्ति? (क.) वयस्या (ख.) वृष्या (ग.) जातीफलरसः (घ.) सर्वे	आमलक्याः पर्यायः कः अस्ति? 	वयस्या / वृष्या / जातीफलरसः / सर्वे	सर्वे	
12	यह किसके बारे में कहा गया है - हरीतकीसमं ......रक्तपित्तप्रमेहघ्नं परं वृष्य रसायनम् ।? (क.) विभीतक (ख.) आमलकी (ग.) गुडूची (घ.) अभया	एतत् कस्य विषये उक्तम् अस्ति - हरीतकिसमं ......रक्तपित्तप्रमेहघ्नं परं वृष्य रसायनम्। (क.) विभीतकः (ख.) आमलकी (ग.) गुडूची (घ.) अभया	एतत् कस्य विषये उक्तम् अस्ति - "हरीतकिसमं ......रक्तपित्तप्रमेहघ्नं परं वृष्यं रसायनम्। "	विभीतकः / आमलकी / गुडूची / अभया	आमलकी	
13	वरा निम्न में से किसका पर्याय है? (क.) हरिद्रा (ख.) गुडूची (ग.) आमलकी (घ.) त्रिफला	वरा कस्मिन पर्यायः अस्ति? (क.) हरिद्रा (ख.) गुडूची (ग.) आमलकी (घ.) त्रिफला	वरा कस्य पर्यायः अस्ति? 	हरिद्रा / गुडूची / आमलकी / त्रिफला	त्रिफला	
14	शुण्ठी निम्न में से किसका पर्याय है? (क.) विश्वा (ख.) महौषध (ग.) श्रृंगवेर (घ.) सभी	शुण्ठीः केषां पर्यायः अस्ति? (क.) विश्वा (ख.) महौषधः (ग.) श्रृंगवेरः (घ.) सर्वे	शुण्ठीः कस्य पर्यायः अस्ति? 	विश्वा / महौषधः / श्रृंगवेरः / सर्वे	सर्वे	
15	पिप्पली निम्न में से किसका पर्याय है? (क.) कणा (ख.) वैदेही (ग.) तीक्ष्णतण्डुला (घ.) सभी	पिप्पली केषां पर्यायः अस्ति? (क.) कणा (ख.) वैदेही (ग.) तीक्ष्णतण्डुला (घ.) सर्वे	पिप्पली कस्य पर्यायः अस्ति?	कणा / वैदेही / तीक्ष्णतण्डुला / सर्वे	सर्वे	
16	पिप्पली निम्न में से किसका पर्याय है? (क.) मागधी (ख.) कृष्णा (ग.) चपला (घ.) सभी	पिप्पली केषां पर्यायः अस्ति? (क.) मागधी (ख.) कृष्णा (ग.) चपला (घ.) सर्वे	पिप्पली कस्य पर्यायः अस्ति? 	मागधी / कृष्णा / चपला / सर्वे	सर्वे	
17	मरिच निम्न में से किसका पर्याय है? (क.) कृष्ण (ख.) धर्मपतन (ग.) वेल्लज (घ.) सभी	मरिचः केषां पर्यायः अस्ति? (क.) कृष्णः (ख.) धर्मपतनः (ग.) वेल्लजः (घ.) सर्वे	मरीचः कस्य पर्यायः अस्ति? 	कृष्णः / धर्मपतनः / वेल्लजः / सर्वे	सर्वे	
18	मरिच निम्न में से किसका पर्याय नहीं है? (क.) कृष्णा (ख.) ऊषण (ग.) कृष्ण (घ.) वेल्लज	मरिचः केषां पर्यायः नास्ति? (क.) कृष्णा (ख.) ऊषणः (ग.) कृष्णः (घ.) वेल्लजः	मरीचःकस्य पर्यायः नास्ति? 	कृष्णा / ऊषणः / कृष्णः / वेल्लजः	कृष्णा	
19	व्योष निम्न में से किसका पर्याय है? (क.) त्रिकटु (ख.) त्रयूषण (ग.) कटुत्रिक (घ.) सभी	व्योषः केषां पर्यायः अस्ति? (क.) त्रिकटु (ख.) त्रयूषणः (ग.) कटुत्रिकः (घ.) सर्वे	व्योषः कस्य पर्यायः अस्ति? 	त्रिकटु / त्रयूषणः / कटुत्रिकः / सर्वे	सर्वे	
20	चटकाशिर निम्न में से किसका पर्याय है? (क.) शुण्ठी (ख.) काकानासा (ग.) पिप्लीमूल (घ.) भल्लातक	चटकाशिरः केषां पर्यायः अस्ति? (क.) शुण्ठी (ख.) काकानासा (ग.) पिप्लीमूलः (घ.) भल्लातकः	चटकाशिरः कस्य पर्यायः अस्ति? 	शुण्ठी / काकानासा / पिप्लीमूलः / भल्लातकः	पिप्लीमूलः	
27	अजमोदा निम्न में से किसका पर्याय है? (क.) खराश्वा (ख.) मायूरो (ग.) ब्रह्मकुशा (घ.) सभी	अजमोदा केषां पर्यायः अस्ति? (क.) खराश्वः (ख.) मायूरः (ग.) ब्रह्मकुशा (घ.) सर्वे	अजमोदा कस्य पर्यायः अस्ति? 	खराश्वः / मायूरः / ब्रह्मकुशा / सर्वे	सर्वे	
