id	category	chapter_id	verse_id	question	options	answer
1001	synonym	8	2	तृणधान्यम् कस्य पर्यायः अस्ति	क्षुद्रधान्यम् / धान्यम् / शाकम् / व्रीहिधान्यम्	क्षुद्रधान्यम्
1002	synonym	8	20	कृष्णतण्डुलः कस्य पर्यायः अस्ति ? 	कृष्णः / जतुमुखः / व्रीहि / शालामुखः	शालामुखः
1003	synonym	8	48	वनमुद्गः कस्य पर्यायः ? 	मुद्गः / माषः / क्षुद्रधान्यम् / मकुष्ठकः	मकुष्ठकः
1004	list.type	8		शालिधान्यस्य प्रकाराः के सन्ति		रक्तशालिः + कलमः + पाण्डुकः + शकुनाहृतः + सुगन्धकः + कर्दमकः + महाशालिः + दूषकः + पुष्पाण्डकः + पुण्डरीकः + महिषमस्तकः + दीर्घशूकः + काञ्चनकः + हायनः + लोध्रपुष्पक
1005	count.type	8	1	धान्यस्य कति प्रकाराः उक्ताः		पञ्च
1006	list.type	8	1	धान्यस्य के प्रकाराः उक्ताः		शालिधान्यम् + व्रीहिधान्यम् + शूकधान्यम् + शिम्बिधान्यम् + क्षुद्रधान्यम्
1007	variant	8	20	शालामुखः कस्य प्रकारः अस्ति? 	शालिधान्यम् / व्रीहिधान्यम् / शूकधान्यम् / शिम्बिधान्यम्	व्रीहिधान्यम्
1008	count.variant	8	38	मुद्गस्य कति भेदाः उक्ताः? 		पञ्च
1009	comparison,variant,location	8	20	दग्धमृत्-जात-शाली शाली च अनयोः को भेदः?		शालिः स्निग्धा अस्ति, दग्धमृज्जातशालिः रूक्षा
1010	comparison	8	15	शालिधान्यस्य कः प्रकारः श्रेष्ठः ? 		रक्तशालिः
1011	comparison	8	21	व्रीहिषु कः श्रेष्ठः?		 कृष्णव्रीहि
1012	property	8	17	वार्षिकस्य व्रीहेः वर्णः कः? 		शुक्लः
1013	property	8	21	व्रीहेः विपाकः कः ? 	अम्ल / कटु / मधुर / उष्ण	मधुर
1014	property	8	70	सर्षपस्य प्रभावः कः? 	अलक्ष्मीहर / मंगलकर  / रक्षोहर / ग्रहहर	रक्षोहर
1015	property	14	1	दधेः वीर्यगुणः कः?		उष्णः
1016	property	1	19	कः रसः हरितक्याम् नास्ति ? 		लवणः
1017	count.property	7	40	लौहधातोः कति दोषाः उक्ता? 		 ७
1018	count.property	1	19	हरीतक्याः रसाः कतिपयः ? 		पञ्च
1019	count.property	1	87	धान्यकस्य रसाः कतिपयः 		द्वे
1020	ingredient	11		अधोलिखितेषु नारिकेरः कस्य कृतान्नस्य घटकः अस्ति? 	नारिकेरक्षीरी / ओदन / क्षीरिका / पायस	नारिकेरक्षीरी
1021	ingredient	11	5	सुधौतः तण्डुलः इति कस्य कृतान्नस्य घटकः स्यात्? 	ओदन / दालि / सूप / पोलिका	ओदन
1022	ingredient	11		क्षीरिकायाः घटकाः के? 	अर्धपक्वं शुद्धं दुग्धम् / घृताक्ततण्डुलम् / क्षीरम्	अर्धपक्वं शुद्धं दुग्धम् + घृताक्ततण्डुलम्
1023	method.preparation.output	8	53	अङ्गारभृष्टचणकः केन संस्कारेण उत्पद्यते? 	पाचनम् / भर्जनम् / शुष्कभर्जनम् / अङ्गारभर्जनम्	अङ्गारभर्जनम्
1024	method.preparation.output	8	55	चणकसूपः कस्य कृतान्नम् अस्ति	चणकः / मुद्गः / दालिः / शिम्बिधान्यम्	चणकः
1025	method.preparation.output	11	173	यवेषु केन संस्कारेण धाना उत्पद्यते?		भर्जनसंस्कारः
1026	method.preparation	8	54	केन संस्कारेण चणकः बल्यः भवति ? 	आर्द्रभर्जनम् / शुष्कभर्जनम् / स्वेदनम् / पेषणम्	आर्द्रभर्जनम्
1027	method.preparation	11	26	पोलिकायाः उत्पत्तौ के के संस्काराः? 	पाचनम् / वेल्लनम् / चिपिटीकरणम्	पाचनम् + वेल्लनम्
1028	method.preparation	11	61	केन संस्कारेण मुद्गवटकाः त्रिदोषशामकाः भवन्ति ? 	तलन-संस्कारः / वटकीकरण-संस्कारः / घृत-तलन-संस्कारः / तक्र-मज्जन-संस्कारः	तक्र-मज्जन-संस्कारः
1029	consumption.companion	11	27	पोलिकायाः अनुपानं किम् ? 	लप्सिका / घृतम् / दुग्धम् / शर्करा	लप्सिका
1030	consumption.companion	11	68	अलीकमत्स्यस्य अनुखादनं किम् ? 		वृन्ताक-भटित्र / वास्तुक-शाक
1031	location	8	32	महागोधूमस्य उत्पत्तिः कुतः अस्ति? 	पश्चात्-देशः / उत्तरदेशः / मध्यदेशः / दक्षिणदेशः	पश्चात् देशः
1032	location,variant	8	32	मध्यदेशः इति उत्पत्तिस्थानम् कस्य गोधूमस्य?		मधूली
1033	time	11	169	चणकसक्तूनाम् अभ्यवहरणकालः कः? 	वसन्तः / वर्षा / हेमन्तः / ग्रीष्मः	ग्रीष्मः
1034	time	11	170	अधोलिखितेषु कः सक्तूनाम् अभ्यवहरणकालः न अस्ति	निशा / प्रातः / भुक्त / मध्याह्ने	निशा / भुक्त
1035	comparison,property	10	51	केषाम् पक्षिणां मांसं लघुतमं स्यात् 	जले निवसतां पक्षिणाम् / धान्यस्य अंकुरान् चरतां पक्षिणाम् / विष्किरपक्षिणाम् / बिलेशयपक्षिणाम्	धान्यस्य अंकुरान् चरतां पक्षिणां
1036	effect.karma	8	7	वर्चसि शाल्याः किं कर्म? 	बद्धवर्चस् / अल्पवर्चस् / विरेचन / १+२	बद्धवर्चस् + अल्पवर्चस्
1037	effect.karma	8	34	गोधूमस्य कानि कर्माणि दृश्यन्ते 	 सन्धानम् / जीवनम् / बृंहणम् / सर्वाणि	सर्वाणि
1038	effect.karma	8		शिम्बिधान्येषु किं स्तन्यकरम् अस्ति? 	 निष्पाव / मुद्ग / माष / १+३	निष्पाव + माष
1039	effect.karma	8	52	रक्तधातवे चणकस्य किं कर्म? 	रक्तहर / रक्तविकारापह / रक्तप्रकोपक / रक्तदुष्टीकर	रक्तविकारापह
1040	effect.karma	17	4	विशेषेण चक्षुष्यं घृतं कतम्? 	 माहिष / आविक / गव्य / आज	गव्य
1041	effect.karma,variant	1	30	पथ्यायाः केन भेदेन संग्रहणं कर्म दृश्यते ?	 पथ्या / भृष्ट-पथ्या / स्विन्ना पथ्या / चर्विता पथ्या	स्विन्ना पथ्या
1042	source.completion	8	42	मंगल्यको ……. स्यान्मंगल्या च मसूरिका । 	 मुद्गः / मकुष्ठः / माषः / मसूरः	मसूरः
1043	source.completion	11	44	पर्पटास्ते सदा …….. परमरोचकाः। 	 भृष्टाः / अङ्गारभृष्टाः / पाचिताः / तलिताः	अङ्गारभृष्टाः
1044	source.completion	8	40	माषः …….। 	 अनिलापहः / त्रिदोषकारकः / पित्तहरः / कफघ्नः	अनिलापहः
1045	meta.reference	7	168,170	भावप्रकाशः हीरकस्य वर्णनं कस्मिन् वर्गे कृतवान्? 		धातूपधातुरसोपरसरत्नोपरत्नविषोपविषवर्गः / धात्वादिवर्गः
1046	meta.reference	1	203	रसाञ्जनं कस्मिन् वर्गे वर्णितम्? 		हरीतक्यादिवर्गः
1047	meta.reference	8	69	सर्षपस्य वर्णनं कस्मिन् वर्गे स्यात्? 		धान्यवर्गः
1048	comparison,property	8	38	श्यामः मुद्गः कस्मात् लघुः ? 	हरित / पीतक / श्वेत / रक्त	सर्वेभ्यः
1049	comparison,property	8	38	हरितः मुद्गः कस्मात् गुरुः? 	पीतक / श्याम / श्वेत / रक्त	श्याम-मुद्ग
1050	true-false	8	90	किॅ वाक्यं योग्यम् अस्ति? 	पुराणतिलः भद्रतरः नवतिलात् / नवगोधूमः भद्रतरः पुराणगोधूमात् / पुराणयवः भद्रतरः नवयवात् / पुराणमाषः भद्रतरः नवमाषात्	नवगोधूमः भद्रतरः पुराणगोधूमात्
1051	disease-treatment	8	54	कः चणकः कुष्ठव्याधिं वर्धते? 	स्विन्न / शुष्कभृष्ट / आर्द्रभृष्ट / अपक्व	शुष्कभृष्ट
