sentence	gold	id	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
śatrurāvaṇaḥ rājā rāvaṇaḥ maithilīṃ iti uktvā tataḥ sarvā rākṣasīr saṃdiśya ca nirjagāma ha	O O B-ASURA O O O O O B-RAKSHASA O O O O	1	{'B-ASURA': ['rāvaṇaḥ'], 'B-RAKSHASA': ['rākṣasīr']}	{'B-RAKSHASA': ['śatrurāvaṇaḥ', 'rākṣasīr'], 'B-KINGDOM': ['rājā']}	{'B-RAKSHASA': ['rākṣasīr'], 'B-KINGDOM': ['rājā', 'rāvaṇaḥ']}	{'B-DEVA': ['śatrurāvaṇaḥ'], 'B-RAKSHASA': ['rāvaṇaḥ', 'rākṣasīr']}
rākṣasendre niṣkrānte tu punar antaḥpuraṃ gate bhīmarūpāstāḥ rākṣasyo sītāṃ samabhidudruvuḥ	B-ASURA O O O O O O B-RAKSHASA B-HUMAN O	2	{'B-RAKSHASA': ['rākṣasendre', 'rākṣasyo'], 'B-PALACE': ['antaḥpuraṃ']}	{'B-RAKSHASA': ['rākṣasendre', 'rākṣasyo'], 'B-PALACE': ['antaḥpuraṃ']}	{'B-RAKSHASA': ['rākṣasendre', 'rākṣasyo'], 'B-HUMAN': ['sītāṃ']}	{'B-DEVA': ['rākṣasendre'], 'B-RAKSHASA': ['rākṣasyo'], 'B-HUMAN': ['sītāṃ']}
tataḥ krodhamūrchitāḥ rākṣasyaḥ sītām upāgamya paraṃ paruṣayā vācā vaidehīm idam abruvan	O O B-RAKSHASA B-HUMAN O O O O O O O	3	{'B-RAKSHASA': ['rākṣasyaḥ']}	{'B-RAKSHASA': ['rākṣasyaḥ']}	{'B-RAKSHASA': ['rākṣasyaḥ'], 'B-HUMAN': ['sītām', 'vaidehīm']}	{'B-RAKSHASA': ['rākṣasyaḥ'], 'B-HUMAN': ['vaidehīm']}
sīte paulastyasya variṣṭhasya daśagrīvasya mahātmanaḥ rāvaṇasya bhāryā tvam na bahu manyase	B-HUMAN B-KULA O O O B-ASURA O O O O O	4	{'B-HUMAN': ['sīte'], 'B-ASURA': ['rāvaṇasya']}	{'B-RAKSHASA': ['rāvaṇasya']}	{'B-HUMAN': ['sīte'], 'B-ASURA': ['rāvaṇasya']}	{'B-DEVA': ['rāvaṇasya'], 'B-HUMAN': ['sīte', 'paulastyasya', 'daśagrīvasya', 'mahātmanaḥ']}
tatas tu ekajaṭā nāma rākṣasī krodhatāmrākṣī karatalodarīm sītāṃ āmantrya vākyam abravīt	O O B-RAKSHASA O O O O B-HUMAN O O O	5	{'B-RAKSHASA': ['ekajaṭā']}	{'B-RAKSHASA': ['rākṣasī']}	{'B-RAKSHASA': ['rākṣasī'], 'B-HUMAN': ['sītāṃ']}	{'B-RAKSHASA': ['rākṣasī'], 'B-DEVA': ['krodhatāmrākṣī']}
ṣaṇṇāṃ prajāpatīnāṃ yaḥ caturtho prajāpatiḥ tu brahmaṇaḥ mānaso putraḥ pulastya iti viśrutaḥ	O O O O O O O O O B-HUMAN O O	6	{'B-HUMAN': ['pulastya']}	{'B-DEVA': ['prajāpatīnāṃ', 'prajāpatiḥ', 'brahmaṇaḥ']}	{}	{'B-DEVA': ['ṣaṇṇāṃ'], 'B-HUMAN': ['prajāpatīnāṃ'], 'B-DEVA': ['prajāpatiḥ'], 'B-HUMAN': ['mānaso'], 'B-DE
pulastyasya mānasaḥ sutaḥ nāmnā maharṣir viśravā nāma sa tu prajāpatisamaprabhaḥ tejasvī	B-HUMAN O O O O B-HUMAN O O O O O	7	{'B-ASURA': ['pulastyasya'], 'B-HUMAN': ['mānasaḥ', 'maharṣir', 'tejasvī']}	{'B-HUMAN': ['pulastyasya', 'maharṣir viśravā'], 'B-RAKSHASA':[]}	{}	{'B-LOCATION': ['pulastyasya'], 'B-ORGANISM': ['mānasaḥ', 'sutaḥ'], 'B-PERSON': ['maharṣir', 'viśravā'], 'B-ORGANISM': ['prajā
viśālākṣi śatrurāvaṇaḥ rāvaṇaḥ tasya putro	O O B-ASURA O O	8	{'B-ASURA': ['śatrurāvaṇaḥ', 'rāvaṇaḥ']}	{'B-RAKSHASA': ['śatrurāvaṇaḥ', 'rāvaṇaḥ']}	{}	{'B-DEVA': ['viśālākṣi'], 'B-ASURA': ['śatrurāvaṇaḥ', 'rāvaṇaḥ'], 'B-HUMAN': ['tasya', 'putro']}
tato mārjāra sadṛśa īkṣaṇā harijaṭā nāma rākṣasī kopāt nayane vivṛtya vākyam abravīt	O O O O O O B-RAKSHASA O O O O O	9	{'B-RAKSHASA': ['rākṣasī']}	{'B-RAKSHASA': ['rākṣasī']}	{'B-RAKSHASA': ['harijaṭā'], 'B-RAKSHASA': ['rākṣasī']}	{'B-DEVA': ['harijaṭā'], 'B-RAKSHASA': ['rākṣasī']}
yena trayastriṃśat devāḥ ca devarājaḥ nirjitaḥ	O O B-DEVA O B-DEVA O	10	{'B-DEVA': ['trayastriṃśat', 'devāḥ'], 'B-DEVA': ['devarājaḥ']}	{'B-DEVA': ['devāḥ', 'devarājaḥ']}	{'B-DEVA': ['trayā', 'devāḥ'], 'B-KINGDOM': ['devarājaḥ']}	{'B-DEVA': ['trayastriṃśat', 'devāḥ', 'devarājaḥ']}
